# Symbol Reference File
# Format: SYMBOL_NAME ADDRESS
SSF_GateStates_ModeEB 0xE01EEA
SSF_GateStates_ModeEC 0xE01F50
SSF_GateStates_ModeED 0xE01F56
SSF_GateStates_ModeEE 0xE01F5C
SSF_GateStates_ModeEF 0xE01F5E
SSF_GateStates_ModeF0 0xE01F60
SSF_GateStates_ModeF1 0xE01F62
SSF_GateStates_ModeF2 0xE01F64
SSF_GateStates_ModeF3 0xE01F66
SSF_GateStates_ModeF4 0xE01F68
SSF_GateStates_ModeF5 0xE01F6A
SSF_GateStates_ModeF6 0xE01F6C
SSF_GateStates_ModeF7 0xE01F6E
SSF_GateStates_ModeF8 0xE01F70
SSF_GateStates_ModeF9 0xE01F72
SSF_GateStates_ModeFA 0xE01F74
SSF_GateStates_ModeFB 0xE01F76
SSF_GateStates_ModeFC 0xE01F78
SSF_GateStates_ModeFD 0xE01F7A
SSF_GateStates_ModeFE 0xE01F7C
SSF_GateStates_ModeFF 0xE01F7E
SSF_PresentationGateTable 0xE01F80
LABEL_E02380 0xE02380
LABEL_E0239C 0xE0239C
LABEL_E023A0 0xE023A0
SOUND_DATA_SECTION_PTRS 0xE023B0
SOUND_CATEGORY_NAMES 0xE023F0
SOUND_DATA_PIANO 0xE02510
SOUND_DATA_GUITAR 0xE04590
SOUND_DATA_STRINGS_VOCAL 0xE04B30
SOUND_DATA_BRASS_PTRS 0xE06BB0
LABEL_E06DB0 0xE06DB0
LABEL_E06DB3 0xE06DB3
LABEL_E06DB6 0xE06DB6
LABEL_E06DB9 0xE06DB9
LABEL_E06DBC 0xE06DBC
LABEL_E06DBF 0xE06DBF
LABEL_E06DC2 0xE06DC2
LABEL_E06DC5 0xE06DC5
LABEL_E06DC8 0xE06DC8
LABEL_E06DCB 0xE06DCB
LABEL_E06DCE 0xE06DCE
LABEL_E06DD1 0xE06DD1
LABEL_E06DD4 0xE06DD4
LABEL_E06DD7 0xE06DD7
LABEL_E06DDA 0xE06DDA
LABEL_E06DDD 0xE06DDD
LABEL_E06DE0 0xE06DE0
LABEL_E06DE3 0xE06DE3
LABEL_E06DE6 0xE06DE6
LABEL_E06DE9 0xE06DE9
LABEL_E06DEC 0xE06DEC
LABEL_E06DEF 0xE06DEF
LABEL_E06DF2 0xE06DF2
LABEL_E06DF5 0xE06DF5
LABEL_E06DF8 0xE06DF8
LABEL_E06DFB 0xE06DFB
LABEL_E06DFE 0xE06DFE
LABEL_E06E01 0xE06E01
LABEL_E06E04 0xE06E04
LABEL_E06E07 0xE06E07
LABEL_E06E0A 0xE06E0A
LABEL_E06E0D 0xE06E0D
LABEL_E06E10 0xE06E10
LABEL_E06E13 0xE06E13
LABEL_E06E16 0xE06E16
LABEL_E06E19 0xE06E19
LABEL_E06E1C 0xE06E1C
LABEL_E06E1F 0xE06E1F
LABEL_E06E22 0xE06E22
LABEL_E06E25 0xE06E25
LABEL_E06E28 0xE06E28
LABEL_E06E2B 0xE06E2B
LABEL_E06E2E 0xE06E2E
LABEL_E06E31 0xE06E31
LABEL_E06E34 0xE06E34
LABEL_E06E37 0xE06E37
LABEL_E06E3A 0xE06E3A
LABEL_E06E3D 0xE06E3D
LABEL_E06E40 0xE06E40
LABEL_E06E43 0xE06E43
LABEL_E06E46 0xE06E46
LABEL_E06E49 0xE06E49
LABEL_E06E4C 0xE06E4C
LABEL_E06E4F 0xE06E4F
LABEL_E06E52 0xE06E52
LABEL_E06E55 0xE06E55
LABEL_E06E58 0xE06E58
LABEL_E06E5B 0xE06E5B
LABEL_E06E5E 0xE06E5E
LABEL_E06E61 0xE06E61
LABEL_E06E64 0xE06E64
LABEL_E06E67 0xE06E67
LABEL_E06E6A 0xE06E6A
LABEL_E06E6D 0xE06E6D
LABEL_E06E70 0xE06E70
LABEL_E06E73 0xE06E73
LABEL_E06E76 0xE06E76
LABEL_E06E79 0xE06E79
LABEL_E06E7C 0xE06E7C
LABEL_E06E7F 0xE06E7F
LABEL_E06E82 0xE06E82
LABEL_E06E85 0xE06E85
LABEL_E06E88 0xE06E88
LABEL_E06E8B 0xE06E8B
LABEL_E06E8E 0xE06E8E
LABEL_E06E91 0xE06E91
LABEL_E06E94 0xE06E94
LABEL_E06E97 0xE06E97
LABEL_E06E9A 0xE06E9A
LABEL_E06E9D 0xE06E9D
LABEL_E06EA0 0xE06EA0
LABEL_E06EA3 0xE06EA3
LABEL_E06EA6 0xE06EA6
LABEL_E06EA9 0xE06EA9
LABEL_E06EAC 0xE06EAC
LABEL_E06EAF 0xE06EAF
LABEL_E06EB2 0xE06EB2
LABEL_E06EB5 0xE06EB5
LABEL_E06EB8 0xE06EB8
LABEL_E06EBB 0xE06EBB
LABEL_E06EBE 0xE06EBE
LABEL_E06EC1 0xE06EC1
LABEL_E06EC4 0xE06EC4
LABEL_E06EC7 0xE06EC7
LABEL_E06ECA 0xE06ECA
LABEL_E06ECD 0xE06ECD
LABEL_E06ED0 0xE06ED0
LABEL_E06ED3 0xE06ED3
LABEL_E06ED6 0xE06ED6
LABEL_E06ED9 0xE06ED9
LABEL_E06EDC 0xE06EDC
LABEL_E06EDF 0xE06EDF
LABEL_E06EE2 0xE06EE2
LABEL_E06EE5 0xE06EE5
LABEL_E06EE8 0xE06EE8
LABEL_E06EEB 0xE06EEB
